,vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_CNG,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Automatic,transmission_type_Manual
0,9,120000,19.7,796,46.3,5,120000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,5,20000,18.9,1197,82.0,5,550000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2,11,60000,17.0,1197,80.0,5,215000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3,9,37000,20.92,998,67.1,5,226000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4,6,30000,22.77,1498,98.59,5,570000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5,8,35000,18.9,998,67.1,5,350000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6,8,40000,20.36,1197,78.9,5,315000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7,3,17512,20.51,998,67.04,5,410000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,2,20000,18.15,998,118.35,5,1050000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9,4,28321,16.6,1197,85.0,5,511000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,8,65278,22.32,1582,126.32,5,425000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
11,5,50000,19.64,1461,108.45,5,750000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12,4,6000,14.41,1998,189.08,5,3250000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
13,5,76000,28.09,1248,88.5,5,650000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
14,5,20000,25.2,1248,74.0,5,627000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
15,7,65000,19.27,2143,170.0,5,1425000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
16,7,62200,28.4,1248,74.0,5,425000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
17,8,110000,12.99,2494,100.6,8,605000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
18,6,20000,21.4,1197,83.1,5,600000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
19,5,40000,20.85,1197,83.14,5,575000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20,8,47000,16.09,1598,103.2,5,425000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
21,8,25000,20.92,998,67.1,5,230000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22,2,15000,19.67,1582,126.2,5,1225000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
23,6,50000,17.4,1497,117.3,5,750000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
24,10,25000,13.6,2523,63.0,7,350000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
